#
# SPHERE/CPI neutral density filters transmission curves
#
# Updated with final values on 2015-04-16 by Arthur Vigan
# For any information, please contact <arthur.vigan@lam.fr>
#
#  wavelength    ND0.0          ND1.0          ND2.0          ND3.5
#
     1021     1.00000000     0.09914740     0.00875108     0.00030253
     1022     1.00000000     0.09868370     0.00865776     0.00029694
     1023     1.00000000     0.09807280     0.00855287     0.00029127
     1024     1.00000000     0.09755510     0.00846652     0.00028596
     1025     1.00000000     0.09704530     0.00837261     0.00028064
     1026     1.00000000     0.09658880     0.00828647     0.00027594
     1027     1.00000000     0.09602820     0.00819330     0.00027068
     1028     1.00000000     0.09559690     0.00811294     0.00026612
     1029     1.00000000     0.09506800     0.00802591     0.00026129
     1030     1.00000000     0.09459600     0.00794323     0.00025701
     1031     1.00000000     0.09413030     0.00786755     0.00025243
     1032     1.00000000     0.09366440     0.00777926     0.00024790
     1033     1.00000000     0.09326170     0.00771227     0.00024350
     1034     1.00000000     0.09267740     0.00762548     0.00023953
     1035     1.00000000     0.09226040     0.00754897     0.00023562
     1036     1.00000000     0.09181210     0.00747285     0.00023142
     1037     1.00000000     0.09138610     0.00739453     0.00022742
     1038     1.00000000     0.09102260     0.00732360     0.00022377
     1039     1.00000000     0.09046670     0.00724587     0.00021997
     1040     1.00000000     0.09006920     0.00717352     0.00021634
     1041     1.00000000     0.08969820     0.00710826     0.00021256
     1042     1.00000000     0.08907160     0.00702595     0.00020911
     1043     1.00000000     0.08877080     0.00697115     0.00020583
     1044     1.00000000     0.08830440     0.00690247     0.00020238
     1045     1.00000000     0.08797080     0.00683702     0.00019900
     1046     1.00000000     0.08756640     0.00677070     0.00019597
     1047     1.00000000     0.08706560     0.00670497     0.00019296
     1048     1.00000000     0.08671930     0.00664745     0.00018996
     1049     1.00000000     0.08643250     0.00658620     0.00018679
     1050     1.00000000     0.08599040     0.00652169     0.00018378
     1051     1.00000000     0.08561260     0.00646017     0.00018112
     1052     1.00000000     0.08527730     0.00640701     0.00017866
     1053     1.00000000     0.08483220     0.00634433     0.00017575
     1054     1.00000000     0.08454150     0.00629169     0.00017302
     1055     1.00000000     0.08419080     0.00623969     0.00017074
     1056     1.00000000     0.08375470     0.00617910     0.00016814
     1057     1.00000000     0.08340990     0.00612857     0.00016575
     1058     1.00000000     0.08322190     0.00608559     0.00016351
     1059     1.00000000     0.08277680     0.00602902     0.00016114
     1060     1.00000000     0.08240500     0.00597529     0.00015877
     1061     1.00000000     0.08207250     0.00592586     0.00015650
     1062     1.00000000     0.08177600     0.00587839     0.00015433
     1063     1.00000000     0.08141000     0.00582356     0.00015201
     1064     1.00000000     0.08103970     0.00576984     0.00014986
     1065     1.00000000     0.08068630     0.00572542     0.00014795
     1066     1.00000000     0.08043000     0.00567975     0.00014596
     1067     1.00000000     0.08015720     0.00563895     0.00014392
     1068     1.00000000     0.07978940     0.00558899     0.00014200
     1069     1.00000000     0.07949370     0.00554304     0.00014005
     1070     1.00000000     0.07929190     0.00550467     0.00013812
     1071     1.00000000     0.07892380     0.00545718     0.00013645
     1072     1.00000000     0.07862340     0.00541408     0.00013459
     1073     1.00000000     0.07830070     0.00537358     0.00013279
     1074     1.00000000     0.07804660     0.00533004     0.00013112
     1075     1.00000000     0.07771780     0.00528950     0.00012945
     1076     1.00000000     0.07744510     0.00525071     0.00012775
     1077     1.00000000     0.07729930     0.00522145     0.00012615
     1078     1.00000000     0.07683570     0.00517213     0.00012468
     1079     1.00000000     0.07662940     0.00513719     0.00012327
     1080     1.00000000     0.07643730     0.00510397     0.00012165
     1081     1.00000000     0.07614700     0.00506761     0.00012023
     1082     1.00000000     0.07590660     0.00503011     0.00011883
     1083     1.00000000     0.07555030     0.00498947     0.00011753
     1084     1.00000000     0.07532860     0.00495678     0.00011622
     1085     1.00000000     0.07515610     0.00492898     0.00011499
     1086     1.00000000     0.07484080     0.00488953     0.00011346
     1087     1.00000000     0.07457870     0.00485374     0.00011209
     1088     1.00000000     0.07435570     0.00482355     0.00011081
     1089     1.00000000     0.07407230     0.00478857     0.00010959
     1090     1.00000000     0.07389080     0.00475831     0.00010849
     1091     1.00000000     0.07362630     0.00472737     0.00010725
     1092     1.00000000     0.07345860     0.00469850     0.00010592
     1093     1.00000000     0.07317630     0.00466482     0.00010474
     1094     1.00000000     0.07299120     0.00463766     0.00010360
     1095     1.00000000     0.07265050     0.00460139     0.00010249
     1096     1.00000000     0.07247570     0.00457577     0.00010149
     1097     1.00000000     0.07229540     0.00455084     0.00010042
     1098     1.00000000     0.07204040     0.00451632     0.00009932
     1099     1.00000000     0.07182440     0.00448655     0.00009822
     1100     1.00000000     0.07170340     0.00446881     0.00009736
     1101     1.00000000     0.07141720     0.00443590     0.00009627
     1102     1.00000000     0.07121080     0.00440900     0.00009539
     1103     1.00000000     0.07109380     0.00438656     0.00009447
     1104     1.00000000     0.07085400     0.00435992     0.00009365
     1105     1.00000000     0.07061850     0.00433472     0.00009277
     1106     1.00000000     0.07045140     0.00430988     0.00009187
     1107     1.00000000     0.07034940     0.00429064     0.00009103
     1108     1.00000000     0.07008340     0.00426490     0.00009011
     1109     1.00000000     0.06988230     0.00424089     0.00008921
     1110     1.00000000     0.06977180     0.00421837     0.00008852
     1111     1.00000000     0.06959810     0.00419650     0.00008767
     1112     1.00000000     0.06938280     0.00417368     0.00008686
     1113     1.00000000     0.06921030     0.00415197     0.00008624
     1114     1.00000000     0.06906730     0.00413042     0.00008559
     1115     1.00000000     0.06880790     0.00410253     0.00008487
     1116     1.00000000     0.06869500     0.00408597     0.00008420
     1117     1.00000000     0.06850090     0.00406283     0.00008354
     1118     1.00000000     0.06839000     0.00404527     0.00008276
     1119     1.00000000     0.06818710     0.00402272     0.00008209
     1120     1.00000000     0.06801560     0.00400523     0.00008136
     1121     1.00000000     0.06789020     0.00398856     0.00008069
     1122     1.00000000     0.06768780     0.00396611     0.00008009
     1123     1.00000000     0.06747210     0.00394396     0.00007943
     1124     1.00000000     0.06743360     0.00393244     0.00007885
     1125     1.00000000     0.06720750     0.00390788     0.00007800
     1126     1.00000000     0.06708570     0.00389020     0.00007739
     1127     1.00000000     0.06697840     0.00387337     0.00007686
     1128     1.00000000     0.06682250     0.00385783     0.00007630
     1129     1.00000000     0.06663640     0.00383695     0.00007570
     1130     1.00000000     0.06653160     0.00381989     0.00007523
     1131     1.00000000     0.06645480     0.00380869     0.00007469
     1132     1.00000000     0.06629580     0.00379056     0.00007422
     1133     1.00000000     0.06615830     0.00377513     0.00007372
     1134     1.00000000     0.06604350     0.00375968     0.00007317
     1135     1.00000000     0.06587080     0.00374303     0.00007263
     1136     1.00000000     0.06577380     0.00372867     0.00007221
     1137     1.00000000     0.06563410     0.00371223     0.00007172
     1138     1.00000000     0.06544890     0.00369336     0.00007120
     1139     1.00000000     0.06542610     0.00368504     0.00007070
     1140     1.00000000     0.06530030     0.00367303     0.00007031
     1141     1.00000000     0.06516870     0.00365725     0.00006999
     1142     1.00000000     0.06502600     0.00364082     0.00006947
     1143     1.00000000     0.06488600     0.00362734     0.00006883
     1144     1.00000000     0.06479720     0.00361433     0.00006850
     1145     1.00000000     0.06470640     0.00360186     0.00006818
     1146     1.00000000     0.06456220     0.00359060     0.00006770
     1147     1.00000000     0.06445280     0.00357613     0.00006733
     1148     1.00000000     0.06431620     0.00355837     0.00006698
     1149     1.00000000     0.06426590     0.00355122     0.00006652
     1150     1.00000000     0.06412160     0.00353804     0.00006600
     1151     1.00000000     0.06402990     0.00352509     0.00006558
     1152     1.00000000     0.06397360     0.00351619     0.00006533
     1153     1.00000000     0.06387920     0.00350450     0.00006497
     1154     1.00000000     0.06373330     0.00348991     0.00006448
     1155     1.00000000     0.06364830     0.00348046     0.00006415
     1156     1.00000000     0.06351670     0.00346908     0.00006390
     1157     1.00000000     0.06342190     0.00345388     0.00006359
     1158     1.00000000     0.06346400     0.00345131     0.00006319
     1159     1.00000000     0.06326090     0.00343686     0.00006278
     1160     1.00000000     0.06324610     0.00342988     0.00006258
     1161     1.00000000     0.06318880     0.00342005     0.00006229
     1162     1.00000000     0.06305490     0.00340759     0.00006193
     1163     1.00000000     0.06297580     0.00340063     0.00006168
     1164     1.00000000     0.06287720     0.00339230     0.00006141
     1165     1.00000000     0.06277470     0.00338289     0.00006111
     1166     1.00000000     0.06278180     0.00337735     0.00006089
     1167     1.00000000     0.06264010     0.00336643     0.00006068
     1168     1.00000000     0.06260350     0.00335917     0.00006041
     1169     1.00000000     0.06248650     0.00334825     0.00006019
     1170     1.00000000     0.06243390     0.00334217     0.00005993
     1171     1.00000000     0.06237350     0.00333658     0.00005967
     1172     1.00000000     0.06226440     0.00332209     0.00005946
     1173     1.00000000     0.06225270     0.00331720     0.00005921
     1174     1.00000000     0.06222070     0.00331151     0.00005907
     1175     1.00000000     0.06205910     0.00329788     0.00005880
     1176     1.00000000     0.06197920     0.00329114     0.00005866
     1177     1.00000000     0.06201120     0.00328922     0.00005833
     1178     1.00000000     0.06193120     0.00328276     0.00005805
     1179     1.00000000     0.06183720     0.00327306     0.00005790
     1180     1.00000000     0.06178910     0.00326688     0.00005773
     1181     1.00000000     0.06170870     0.00325936     0.00005750
     1182     1.00000000     0.06164760     0.00325438     0.00005727
     1183     1.00000000     0.06163470     0.00325028     0.00005703
     1184     1.00000000     0.06159800     0.00324390     0.00005686
     1185     1.00000000     0.06148530     0.00323461     0.00005670
     1186     1.00000000     0.06145210     0.00322942     0.00005663
     1187     1.00000000     0.06139360     0.00322428     0.00005647
     1188     1.00000000     0.06133970     0.00321980     0.00005632
     1189     1.00000000     0.06138580     0.00321695     0.00005619
     1190     1.00000000     0.06126560     0.00320869     0.00005603
     1191     1.00000000     0.06125680     0.00320530     0.00005597
     1192     1.00000000     0.06120690     0.00320001     0.00005574
     1193     1.00000000     0.06116620     0.00319544     0.00005563
     1194     1.00000000     0.06106840     0.00318929     0.00005558
     1195     1.00000000     0.06105000     0.00318776     0.00005547
     1196     1.00000000     0.06107780     0.00318502     0.00005533
     1197     1.00000000     0.06097020     0.00317654     0.00005526
     1198     1.00000000     0.06096240     0.00317357     0.00005516
     1199     1.00000000     0.06096750     0.00317459     0.00005506
     1200     1.00000000     0.06090630     0.00316905     0.00005495
     1201     1.00000000     0.06088980     0.00316391     0.00005490
     1202     1.00000000     0.06084230     0.00316004     0.00005476
     1203     1.00000000     0.06076650     0.00315650     0.00005461
     1204     1.00000000     0.06076360     0.00315315     0.00005444
     1205     1.00000000     0.06071260     0.00314782     0.00005427
     1206     1.00000000     0.06076150     0.00314912     0.00005419
     1207     1.00000000     0.06067070     0.00314283     0.00005416
     1208     1.00000000     0.06060120     0.00313690     0.00005406
     1209     1.00000000     0.06064410     0.00313619     0.00005384
     1210     1.00000000     0.06059660     0.00313200     0.00005381
     1211     1.00000000     0.06055520     0.00313128     0.00005378
     1212     1.00000000     0.06057230     0.00313077     0.00005367
     1213     1.00000000     0.06052220     0.00312398     0.00005357
     1214     1.00000000     0.06051530     0.00312111     0.00005354
     1215     1.00000000     0.06046430     0.00311965     0.00005340
     1216     1.00000000     0.06049020     0.00312034     0.00005343
     1217     1.00000000     0.06048960     0.00311792     0.00005323
     1218     1.00000000     0.06036970     0.00311156     0.00005317
     1219     1.00000000     0.06040420     0.00311326     0.00005318
     1220     1.00000000     0.06041960     0.00311198     0.00005317
     1221     1.00000000     0.06035750     0.00310761     0.00005309
     1222     1.00000000     0.06038220     0.00311046     0.00005307
     1223     1.00000000     0.06042130     0.00310948     0.00005308
     1224     1.00000000     0.06034470     0.00310518     0.00005299
     1225     1.00000000     0.06033010     0.00310510     0.00005310
     1226     1.00000000     0.06042190     0.00310818     0.00005316
     1227     1.00000000     0.06038710     0.00310678     0.00005311
     1228     1.00000000     0.06036900     0.00310560     0.00005300
     1229     1.00000000     0.06034720     0.00310433     0.00005293
     1230     1.00000000     0.06034750     0.00310440     0.00005286
     1231     1.00000000     0.06034660     0.00310298     0.00005292
     1232     1.00000000     0.06033310     0.00310088     0.00005290
     1233     1.00000000     0.06037390     0.00310460     0.00005303
     1234     1.00000000     0.06033820     0.00310269     0.00005296
     1235     1.00000000     0.06031470     0.00310156     0.00005293
     1236     1.00000000     0.06031400     0.00310205     0.00005290
     1237     1.00000000     0.06037370     0.00310496     0.00005302
     1238     1.00000000     0.06037430     0.00310465     0.00005305
     1239     1.00000000     0.06039680     0.00310504     0.00005293
     1240     1.00000000     0.06037160     0.00310710     0.00005292
     1241     1.00000000     0.06034550     0.00310513     0.00005301
     1242     1.00000000     0.06035880     0.00310413     0.00005298
     1243     1.00000000     0.06036320     0.00310470     0.00005297
     1244     1.00000000     0.06037310     0.00310623     0.00005294
     1245     1.00000000     0.06039290     0.00310762     0.00005297
     1246     1.00000000     0.06037290     0.00310591     0.00005291
     1247     1.00000000     0.06038210     0.00310329     0.00005291
     1248     1.00000000     0.06039930     0.00310597     0.00005292
     1249     1.00000000     0.06040090     0.00310779     0.00005298
     1250     1.00000000     0.06041650     0.00311007     0.00005295
     1251     1.00000000     0.06046370     0.00311398     0.00005305
     1252     1.00000000     0.06045800     0.00311325     0.00005309
     1253     1.00000000     0.06045480     0.00311317     0.00005309
     1254     1.00000000     0.06047260     0.00311623     0.00005306
     1255     1.00000000     0.06047340     0.00311717     0.00005316
     1256     1.00000000     0.06045460     0.00312026     0.00005324
     1257     1.00000000     0.06052410     0.00312324     0.00005331
     1258     1.00000000     0.06056220     0.00312405     0.00005346
     1259     1.00000000     0.06060320     0.00312718     0.00005353
     1260     1.00000000     0.06064210     0.00313133     0.00005340
     1261     1.00000000     0.06062900     0.00313148     0.00005348
     1262     1.00000000     0.06061820     0.00312932     0.00005352
     1263     1.00000000     0.06065520     0.00313737     0.00005362
     1264     1.00000000     0.06067120     0.00313775     0.00005377
     1265     1.00000000     0.06073600     0.00314325     0.00005391
     1266     1.00000000     0.06073740     0.00314554     0.00005394
     1267     1.00000000     0.06078310     0.00314875     0.00005398
     1268     1.00000000     0.06085350     0.00315204     0.00005416
     1269     1.00000000     0.06086270     0.00315667     0.00005427
     1270     1.00000000     0.06091570     0.00315929     0.00005425
     1271     1.00000000     0.06090460     0.00316077     0.00005432
     1272     1.00000000     0.06089940     0.00316366     0.00005449
     1273     1.00000000     0.06100380     0.00316965     0.00005461
     1274     1.00000000     0.06102150     0.00317209     0.00005463
     1275     1.00000000     0.06103970     0.00317389     0.00005480
     1276     1.00000000     0.06107980     0.00317772     0.00005500
     1277     1.00000000     0.06112710     0.00318330     0.00005502
     1278     1.00000000     0.06122880     0.00318897     0.00005510
     1279     1.00000000     0.06119090     0.00319095     0.00005514
     1280     1.00000000     0.06125160     0.00319410     0.00005520
     1281     1.00000000     0.06114810     0.00319266     0.00005529
     1282     1.00000000     0.06130850     0.00320397     0.00005544
     1283     1.00000000     0.06132630     0.00320851     0.00005558
     1284     1.00000000     0.06137210     0.00321242     0.00005573
     1285     1.00000000     0.06146350     0.00321672     0.00005578
     1286     1.00000000     0.06145400     0.00321928     0.00005585
     1287     1.00000000     0.06155210     0.00322600     0.00005603
     1288     1.00000000     0.06150170     0.00322373     0.00005621
     1289     1.00000000     0.06164730     0.00323735     0.00005639
     1290     1.00000000     0.06163170     0.00323788     0.00005652
     1291     1.00000000     0.06167290     0.00324197     0.00005663
     1292     1.00000000     0.06174410     0.00324943     0.00005677
     1293     1.00000000     0.06181170     0.00325642     0.00005694
     1294     1.00000000     0.06178860     0.00325652     0.00005706
     1295     1.00000000     0.06186700     0.00326325     0.00005719
     1296     1.00000000     0.06192820     0.00326916     0.00005732
     1297     1.00000000     0.06199200     0.00327639     0.00005758
     1298     1.00000000     0.06201940     0.00328168     0.00005762
     1299     1.00000000     0.06206750     0.00328839     0.00005785
     1300     1.00000000     0.06216600     0.00329580     0.00005805
     1301     1.00000000     0.06219700     0.00329841     0.00005816
     1302     1.00000000     0.06224880     0.00330490     0.00005831
     1303     1.00000000     0.06230330     0.00331106     0.00005853
     1304     1.00000000     0.06240330     0.00331895     0.00005865
     1305     1.00000000     0.06238850     0.00332253     0.00005890
     1306     1.00000000     0.06251170     0.00333286     0.00005909
     1307     1.00000000     0.06251620     0.00333639     0.00005926
     1308     1.00000000     0.06262180     0.00334515     0.00005937
     1309     1.00000000     0.06265080     0.00335111     0.00005957
     1310     1.00000000     0.06273290     0.00335636     0.00005971
     1311     1.00000000     0.06279210     0.00336084     0.00005993
     1312     1.00000000     0.06288330     0.00336883     0.00006022
     1313     1.00000000     0.06288240     0.00337670     0.00006048
     1314     1.00000000     0.06299510     0.00338557     0.00006063
     1315     1.00000000     0.06308480     0.00339268     0.00006094
     1316     1.00000000     0.06311800     0.00340015     0.00006108
     1317     1.00000000     0.06317500     0.00340820     0.00006131
     1318     1.00000000     0.06328450     0.00341686     0.00006152
     1319     1.00000000     0.06334440     0.00342290     0.00006174
     1320     1.00000000     0.06335230     0.00342763     0.00006186
     1321     1.00000000     0.06347980     0.00343990     0.00006225
     1322     1.00000000     0.06357360     0.00344911     0.00006244
     1323     1.00000000     0.06358400     0.00345360     0.00006269
     1324     1.00000000     0.06370400     0.00346203     0.00006293
     1325     1.00000000     0.06370110     0.00346558     0.00006311
     1326     1.00000000     0.06382750     0.00347673     0.00006337
     1327     1.00000000     0.06391620     0.00348879     0.00006360
     1328     1.00000000     0.06396330     0.00349370     0.00006396
     1329     1.00000000     0.06410220     0.00350652     0.00006426
     1330     1.00000000     0.06400310     0.00350950     0.00006441
     1331     1.00000000     0.06414960     0.00352032     0.00006475
     1332     1.00000000     0.06428550     0.00353245     0.00006496
     1333     1.00000000     0.06434090     0.00354076     0.00006527
     1334     1.00000000     0.06444300     0.00354988     0.00006564
     1335     1.00000000     0.06454280     0.00355929     0.00006581
     1336     1.00000000     0.06464310     0.00356968     0.00006618
     1337     1.00000000     0.06467570     0.00357697     0.00006657
     1338     1.00000000     0.06476370     0.00358676     0.00006694
     1339     1.00000000     0.06484900     0.00359577     0.00006723
     1340     1.00000000     0.06493080     0.00360565     0.00006758
     1341     1.00000000     0.06504090     0.00361689     0.00006774
     1342     1.00000000     0.06511040     0.00362528     0.00006800
     1343     1.00000000     0.06523550     0.00363741     0.00006842
     1344     1.00000000     0.06528990     0.00364548     0.00006878
     1345     1.00000000     0.06538160     0.00365624     0.00006908
     1346     1.00000000     0.06546900     0.00366712     0.00006949
     1347     1.00000000     0.06553720     0.00367618     0.00006992
     1348     1.00000000     0.06563720     0.00368669     0.00007009
     1349     1.00000000     0.06573200     0.00369891     0.00007067
     1350     1.00000000     0.06586940     0.00371039     0.00007108
     1351     1.00000000     0.06601210     0.00372397     0.00007144
     1352     1.00000000     0.06603640     0.00373035     0.00007183
     1353     1.00000000     0.06620250     0.00374628     0.00007229
     1354     1.00000000     0.06619040     0.00375094     0.00007261
     1355     1.00000000     0.06629930     0.00376311     0.00007306
     1356     1.00000000     0.06636160     0.00377192     0.00007343
     1357     1.00000000     0.06651300     0.00378863     0.00007382
     1358     1.00000000     0.06665050     0.00380221     0.00007429
     1359     1.00000000     0.06667670     0.00381131     0.00007473
     1360     1.00000000     0.06680350     0.00382313     0.00007523
     1361     1.00000000     0.06691090     0.00383660     0.00007562
     1362     1.00000000     0.06698480     0.00384771     0.00007599
     1363     1.00000000     0.06704060     0.00385729     0.00007637
     1364     1.00000000     0.06720190     0.00386977     0.00007692
     1365     1.00000000     0.06732090     0.00388435     0.00007733
     1366     1.00000000     0.06739440     0.00389831     0.00007768
     1367     1.00000000     0.06749720     0.00391030     0.00007817
     1368     1.00000000     0.06763280     0.00392743     0.00007866
     1369     1.00000000     0.06768660     0.00393759     0.00007917
     1370     1.00000000     0.06780050     0.00394863     0.00007969
     1371     1.00000000     0.06790360     0.00396186     0.00008032
     1372     1.00000000     0.06809480     0.00398296     0.00008075
     1373     1.00000000     0.06816870     0.00399293     0.00008129
     1374     1.00000000     0.06828300     0.00400388     0.00008174
     1375     1.00000000     0.06847180     0.00402464     0.00008233
     1376     1.00000000     0.06858720     0.00404058     0.00008303
     1377     1.00000000     0.06866980     0.00405356     0.00008377
     1378     1.00000000     0.06874540     0.00406728     0.00008438
     1379     1.00000000     0.06892670     0.00408385     0.00008484
     1380     1.00000000     0.06903130     0.00410104     0.00008541
     1381     1.00000000     0.06913480     0.00411671     0.00008619
     1382     1.00000000     0.06926350     0.00413304     0.00008686
     1383     1.00000000     0.06929730     0.00414444     0.00008741
     1384     1.00000000     0.06940210     0.00415808     0.00008807
     1385     1.00000000     0.06958220     0.00417543     0.00008858
     1386     1.00000000     0.06968430     0.00419172     0.00008916
     1387     1.00000000     0.06986240     0.00420886     0.00009004
     1388     1.00000000     0.07003030     0.00422898     0.00009051
     1389     1.00000000     0.07007160     0.00424289     0.00009090
     1390     1.00000000     0.07023190     0.00426115     0.00009173
     1391     1.00000000     0.07032310     0.00427489     0.00009230
     1392     1.00000000     0.07044020     0.00428759     0.00009288
     1393     1.00000000     0.07047710     0.00429863     0.00009330
     1394     1.00000000     0.07070190     0.00431889     0.00009362
